Employees by rezidence from Active Population 2019 (%),Living space per person 2020 (sqm),Voters present at the polls for the referendum 2018 (%),Locality with public airports (dummy),Primary education (4 grades) 2011 (%),Elderly (65+) 2020 (%),Relative poverty 2016 (%),Neoprotestants from Population 2011 (%),Migration experience,Maximum Covid 19 Incidence Rate 3rd Wave,Core city,Peri-urban City,Peri-urban Village,Size 100T+,School enrollment to young population 2019 (%),Vaccination Rate 05.10.2021,siruta,Vaccination Rate 26.05.2021
0.253187614,20.60264714,0.149414063,0,0.213693583,0.243874965,0.380089236,0.0098,40.42877185,2.81,0,0,1,0,0.329596413,28.61,151816.0,21.46
0.094527363,19.59134615,0.155120482,0,0.36596218,0.356971154,0.571428571,0.001,22.54781384,5.04,0,0,0,0,0.561538462,8.62,153909.0,4.91
0.070684524,23.74765101,0.31597754,0,0.220338983,0.2572706939999999,0.580050293,0.0033,40.82542453,0.44,0,0,0,0,0.652317881,13.06,72098.0,7.98
0.126592357,17.52451481,0.229625223,0,0.142018779,0.212461696,0.33059449,0.0005,44.35260157,0.0,0,0,0,0,0.5597014929999999,13.83,130026.0,8.52
0.033865317,14.97427425,0.163335237,0,0.3631532329999999,0.214302573,0.400090416,0.0324,58.72458124,4.98,0,0,0,0,0.301939058,12.98,152332.0,9.87
0.0532440059999999,21.10186431,0.3147805999999999,0,0.292382299,0.269652124,0.479770922,0.0039,36.49005541,2.28,0,0,0,0,0.733410943,17.58,74581.0,12.22
0.040929204,15.78952772,0.24044586,0,0.243902439,0.234086242,0.57973368,0.0003,35.989639000000004,1.04,0,0,0,0,0.661176471,17.12,129567.0,11.68
0.1321353069999999,26.93203883,0.576010263,0,0.265139116,0.336950314,0.369863014,0.0418,29.37553798,4.18,0,0,0,0,0.590697674,13.59,103354.0,6.91
0.694705591,19.46611835,0.1691009789999999,0,0.087761356,0.201973138,0.110097253,0.0094,68.46618916,3.9,1,0,0,0,1.294212219,33.0,151790.0,27.07
0.134217067,22.0855,0.591930836,0,0.198103267,0.245,0.630850048,0.0,31.87138277,2.9,0,0,0,0,0.513108614,23.94,125659.0,15.64
