siruta,Maximum Covid 19 Incidence Rate 3rd Wave,population,Vaccination Dose 1 26.05.2021,Vaccination Rate 26.05.2021,County,Administrative Territorial Unit,Vaccination Rate 05.10.2021,Vaccination Dose 1 05.10.2021,Covid 19 Incidence Rate 20.10.2021,Industrial growing labour market 2011-2018 (dummy),Services growing labour market 2011-2018 (dummy),Trade & Logistics growing labour market 2011-2018 (dummy),Core city (dummy),Periurban locality (dummy),Employees by company from Active Population 2018 (%),Employees by rezidence from Active Population 2019 (%),School enrollment to young population 2018 (%),School enrollment to young population 2019 (%),Elderly (65+) 2018 (%),Elderly (65+) 2019 (%),Elderly (65+) 2020 (%),Primary education (4 grades) 2011 (%),Lower secondary education (8 grades) 2011 (%),Relative poverty 2016 (%),Voters present at the polls for the referendum 2018 (%),"Votes cast for ""YES"" at the referendum 2018 (%)",People pe sqkm 2018,Living space per person 2018 (sqm),Living space per person 2019 (sqm),Living space per person 2020 (sqm),Distances on roads (average in km to all cities in Romania),Gravity distances on the roads (m & pop adj.),Gravity distances on the roads (m & pop adj.) regional cut,Degrees Weighted Out (network road distances),Locality with public airports (dummy),Locality with commercial airports (dummy),Employees by rezidece from Active Population 2018 (%),Neoprotestants from Population 2011 (%),Migration experience,Gravity distances on the roads (in minutes) regional cut,The distanes until fist city of 200mii+ (ln),Core city,Peri-urban City,Peri-urban Village,Village,Size 100T+,Family doctors 1000 inhabitants,Marginalized 1000 inhabitants,Roma proportion,Socialist investements,Elderly Minimum Guarantee 2020,Elderly Retired 2020
71607.0,1.27,5541.0,1049,18.93,Dolj,Călărași,26.48,1467.0,2.96,1,0,0,0,1,0.030665888,0.055869242,1.4530791790000002,1.091338583,0.268588504,0.2743521,0.27574991,0.279659448,0.586340922,0.620177535,0.32006466,0.301475045,515.4480384,18.55950079,18.98355675,19.1928081,375.7990106,115.8989773,1.814758165,1.5088,0,0,0.0569509,0.0042,44.68514835,0.55243,4.139955073,0,0,1,0,0,0.527,0.0,0.0,-0.231,0.070096102,0.205653808
152500.0,3.25,2793.0,320,11.46,Teleorman,Cervenia,18.37,513.0,1.83,0,0,1,0,0,0.037371911,0.079510703,0.610958904,0.588888889,0.276140351,0.27544484,0.276862464,0.252535852,0.646379853,0.580656186,0.244715447,0.225609756,655.4737809999999,18.93087719,19.21743772,19.34133238,381.5010905,154.7719863,2.135420902,1.31662,0,0,0.0765521,0.0743,63.61549355,0.476127,4.383275854,0,0,0,1,0,0.701,0.0,0.025,-1.388,0.085962769,0.190899695
179739.0,1.5,2034.0,245,12.05,Giurgiu,Malu,21.24,432.0,26.13,0,0,0,0,0,0.06504065,0.13003663,0.562753036,0.53164557,0.343390805,0.343719572,0.343842365,0.275909719,0.594196223,0.400275735,0.170517052,0.156765677,1255.562237,22.66714559,23.04235638,23.31034483,381.3238509,172.4190219,2.170398409,1.37937,0,0,0.1336947,0.0021,17.57516428,0.483926,4.282206298999999,0,0,0,1,0,0.478,0.0,0.008,-1.827,0.111125402,0.232716963
129745.0,0.66,3092.0,158,5.11,Olt,Vădăstrița,10.38,321.0,2.65,0,0,1,0,0,0.013948498,0.037634409,0.649122807,0.653301887,0.259049418,0.258095543,0.256235828,0.272936534,0.7464649790000001,0.239877301,0.276501112,0.221645663,927.5912409,18.802644,19.1522924,19.06802721,368.6559864,105.4081912,1.7932959080000002,1.26812,0,0,0.0396996,0.0003,39.71355317,0.5458970000000001,4.247065649,0,0,0,1,0,0.629,0.0,0.0,-0.307,0.088422461,0.167813367
129629.0,0.49,2049.0,89,4.34,Olt,Urzica,8.93,183.0,2.48,0,0,1,0,1,0.014516129,0.0537634409999999,0.63898917,0.653571429,0.269030733,0.269917914,0.272860636,0.2685990339999999,0.6642512079999999,0.6000918270000001,0.264035575,0.227904391,843.9744613,21.81465721,22.27812651,22.52518337,372.3727108,102.9353611,1.787965755,1.24027,0,0,0.0532258,0.0,33.2891524,0.5442739999999999,4.163559631,0,0,1,0,0,0.472,0.0,0.0,-0.307,0.094159389,0.178701247
129718.0,0.0,1304.0,201,15.41,Olt,Vădastra,23.93,312.0,8.61,1,0,0,0,1,0.045219638,0.075898802,0.617283951,0.6756756759999999,0.293154762,0.306169078,0.308518803,0.296838859,0.601387818,0.41954023,0.53668942,0.4667235489999999,782.3050057999999,19.79017857,20.25742574,20.41289332,365.137519,109.5051465,1.8018908,1.30704,0,0,0.0749354,0.0,33.42971688,0.548513,4.241326753,0,0,1,0,0,0.743,0.0,0.003,-0.307,0.106464393,0.20205441
153561.0,1.02,2924.0,417,14.26,Teleorman,Piatra,24.04,703.0,7.05,0,0,1,0,0,0.091708543,0.192065491,0.981770833,0.928571429,0.321488434,0.314188034,0.311621529,0.30841729,0.58238544,0.419521655,0.142633229,0.130485893,747.4317214,20.37244385,20.77641026,20.83339047,370.6545177,151.86799330000002,2.1293434,1.33671,0,0,0.1896985,0.0088,23.99633258,0.474772,4.576770711,0,0,0,1,0,0.67,0.0,0.037,-1.388,0.096755079,0.21486645
100549.0,5.25,2288.0,232,10.14,Giurgiu,Slobozia,14.47,331.0,9.22,0,0,1,0,1,0.066666667,0.101719198,0.5,0.485714286,0.245177883,0.249028917,0.247156605,0.289923954,0.559885932,0.460370995,0.392659628,0.351935646,185.3941513,19.09815688,19.23003884,19.41163605,374.5581572,186.0066757,2.195313035,1.51329,0,0,0.193617,0.0017,49.09865374,0.489481,4.207673248,0,0,1,0,0,0.428,0.0,0.151,-1.827,0.079877816,0.167278789
129460.0,0.5,4064.0,394,9.69,Olt,Tia Mare,16.98,690.0,2.25,0,0,1,0,1,0.017692308,0.037225705,0.618773946,0.646341463,0.237957611,0.24399804,0.245320197,0.268178457,0.6403746610000001,0.599953129,0.3054242,0.252851182,984.5861987,17.99759152,18.30622244,18.29876847,371.5394131,94.26580521,1.768348761,1.2426,0,0,0.0407692,0.0009,35.76708549,0.538303,4.436751534,0,0,1,0,0,0.241,0.0,0.0,-0.307,0.084655669,0.160664528
129898.0,0.74,2751.0,474,17.23,Olt,Vișina,25.15,692.0,2.61,0,0,1,0,1,0.084204057,0.078443484,0.6118012420000001,0.637873754,0.284070478,0.286804798,0.290228841,0.234386757,0.545146727,0.41011236,0.376086057,0.310302027,950.1195764,21.08558073,21.29080334,21.275336,362.2785313,116.6212092,1.816172345,1.40472,0,0,0.0682237,0.0007,40.20786107,0.5528609999999999,4.282206298999999,0,0,1,0,0,0.719,0.0,0.0,-0.307,0.10015285,0.190075991
